"ID","Group","Subject","Initials","Condition","Item number","Block","Trial","Audio stimuli","Reaction time","Accuracy","Target response","Participant response","Response type"
"D,15,VC","D","15","VC","NonNative","44","4","4","Ba3-Pa4","4514.10",1,"Different","Different","Hit"
"D,15,VC","D","15","VC","NonNative","41","4","1","Pa5-Pa4","3802.24",1,"Same","Same","CR"
"D,15,VC","D","15","VC","NonNative","31","3","1","Pa4-Pa2","3200.37",1,"Same","Same","CR"
"D,15,VC","D","15","VC","NonNative","33","3","3","Pa5-Ba5","3930.49",1,"Different","Different","Hit"
"D,15,VC","D","15","VC","NonNative","32","3","2","Ba3-Ba2","4910.50",1,"Same","Same","CR"
"D,15,VC","D","15","VC","NonNative","34","3","4","Ba2-Pa2","3821.33",1,"Different","Different","Hit"
"D,12,JC","D","12","JC","NonNative","32","3","2","Ba3-Ba2","4238.39",1,"Same","Same","CR"
"D,12,JC","D","12","JC","NonNative","34","3","4","Ba2-Pa2","-5037.34",0,"Different","Same","Miss"
"D,12,JC","D","12","JC","NonNative","33","3","3","Pa5-Ba5","3770.69",1,"Different","Different","Hit"
"D,12,JC","D","12","JC","NonNative","31","3","1","Pa4-Pa2","3680.38",1,"Same","Same","CR"
"D,12,JC","D","12","JC","NonNative","13","1","3","Pa2-Ba2","3498.10",1,"Different","Different","Hit"
"D,12,JC","D","12","JC","NonNative","11","1","1","Pa2-Pa4","3467.47",1,"Same","Same","CR"
"D,12,JC","D","12","JC","NonNative","12","1","2","Ba2-Ba3","-3874.99",0,"Same","Different","False+"
"D,12,JC","D","12","JC","NonNative","14","1","4","Ba5-Pa4","-3652.41",0,"Different","Same","Miss"
"D,12,JC","D","12","JC","NonNative","22","2","2","Ba5-Ba2","-3971.42",0,"Same","Different","False+"
"D,12,JC","D","12","JC","NonNative","24","2","4","Ba3-Pa4","3684.92",1,"Different","Different","Hit"
"D,12,JC","D","12","JC","NonNative","23","2","3","Pa4-Ba3","3331.10",1,"Different","Different","Hit"
"D,12,JC","D","12","JC","NonNative","21","2","1","Pa5-Pa2","3556.90",1,"Same","Same","CR"
"D,12,JC","D","12","JC","NonNative","44","4","4","Ba3-Pa4","3640.57",1,"Different","Different","Hit"
"D,12,JC","D","12","JC","NonNative","42","4","2","Ba5-Ba3","-3590.84",0,"Same","Different","False+"
"D,12,JC","D","12","JC","NonNative","43","4","3","Pa2-Ba3","3795.96",1,"Different","Different","Hit"
